gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2010.290909,Casual,Turtle Check Men Navy Blue Shirt
Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt
Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch
Men,Apparel,Bottomwear,Trousers,Black,Summer,2009.581818,Casual,French Connection Men Charcoal Trousers
Men,Apparel,Bottomwear,Track Pants,Black,Fall,2010.054545,Casual,Manchester United Men Solid Black Track Pants
Men,Apparel,Topwear,Tshirts,Cream,Fall,2011,Casual,Proline Men's Printed Chalk Cream Brown T-shirt
Women,Footwear,Shoes,Heels,Brown,Winter,2010.448485,Casual,Catwalk Women Casual Brown Flats
Men,Apparel,Bottomwear,Trousers,Black,Summer,2012,Casual,French Connection Men Charcoal Trousers
Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Casual Brown Flats
Women,Accessories,Watches,Watches,Silver,Winter,2010.684848,Casual,Titan Women Silver Watch
Men,Apparel,Topwear,Sweaters,Navy Blue,Fall,2011.315152,Casual,United Colors of Benetton Men Check Navy Blue ...
Women,Accessories,Watches,Watches,Silver,Winter,2010.921212,Casual,Titan Women Silver Watch
Men,Apparel,Topwear,Tshirts,Cream,Fall,2010.369697,Casual,Proline Men's Printed Chalk Cream Brown T-shirt
Men,Apparel,Topwear,Tshirts,Cream,Fall,2011.393939,Casual,Proline Men's Printed Chalk Cream Brown T-shirt
Men,Apparel,Topwear,Sweaters,Navy Blue,Fall,2011,Casual,United Colors of Benetton Men Check Navy Blue ...
Women,Accessories,Watches,Watches,Silver,Winter,2010.133333,Casual,Titan Women Silver Watch
Women,Footwear,Shoes,Heels,Brown,Winter,2011.472727,Casual,Catwalk Women Casual Brown Flats
Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.078788,Casual,Turtle Check Men Navy Blue Shirt
Women,Footwear,Shoes,Heels,Black,Winter,2009.660606,Casual,Inc 5 Women Casual Black Flats
Men,Apparel,Topwear,Tshirts,Cream,Fall,2009.818182,Casual,Proline Men's Printed Chalk Cream Brown T-shirt
Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt
Men,Apparel,Bottomwear,Jeans,Blue,Summer,2011,Casual,Peter England Men Party Blue Jeans
Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants
Men,Apparel,Bottomwear,Jeans,Blue,Summer,2011.787879,Casual,Peter England Men Party Blue Jeans
Women,Footwear,Shoes,Heels,Brown,Winter,2009.89697,Casual,Catwalk Women Casual Brown Flats
Men,Apparel,Bottomwear,Jeans,Blue,Summer,2010.212121,Casual,Peter England Men Party Blue Jeans
Men,Apparel,Topwear,Tshirts,Grey,Summer,2010.527273,Casual,Puma Men Grey T-shirt
Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2010.842424,Casual,Turtle Check Men Navy Blue Shirt
Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.630303,Casual,Manchester United Men Solid Black Track Pants
Men,Apparel,Bottomwear,Jeans,Blue,Summer,2010.763636,Casual,Peter England Men Party Blue Jeans
Women,Accessories,Watches,Watches,Silver,Winter,2011.709091,Casual,Titan Women Silver Watch
Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.866667,Casual,Turtle Check Men Navy Blue Shirt
Men,Apparel,Bottomwear,Track Pants,Black,Fall,2010.606061,Casual,Manchester United Men Solid Black Track Pants
Men,Apparel,Topwear,Sweaters,Navy Blue,Fall,2009.739394,Casual,United Colors of Benetton Men Check Navy Blue ...
Men,Apparel,Bottomwear,Trousers,Black,Summer,2011.157576,Casual,French Connection Men Charcoal Trousers
Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans
Women,Footwear,Shoes,Heels,Black,Winter,2011.236364,Casual,Inc 5 Women Casual Black Flats
Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Inc 5 Women Casual Black Flats
Men,Apparel,Topwear,Tshirts,Grey,Summer,2009.975758,Casual,Puma Men Grey T-shirt
Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.551515,Casual,Puma Men Grey T-shirt